,State,full,climate_policy_index,ren_share_22,state_ems_change_1621,State_Effective_Tax_Rate,Right_to_work,ind_elec_price,man_share,worker_pay.y,gdp_17_22,cnbc_rank,demshare,demshare_statesenate,demshare_statehouse,dem_governor,dem_statecontrol,subs_m,incent_gdp,corruption_rank,liberal,pro_environment,pro_welfare,pro_race,LCVavg,other_spend_budget,budget_gdp
476,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,6.100658128,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
477,NM,New Mexico,0.366152262,62.8,-6.054,0.1,1,19.22,1.746384617,57064.54288,8.7,43,0.555184902,0.642857143,0.642857143,1,1,208.981308,0.002062689,26,22.01958325,0.557929695,0.261076653,0.336403407,84.5,25.26109761,20.44877382
478,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,8.900893414,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
479,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,12.75976175,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
480,GA,Georgia,0.270791424,5.1,-14.13,0.09,0,25.36,11.1767816,56979.44017,12.4,4,0.501283338,0.410714286,0.433333333,0,0,4852.224547,0.007398632,33,16.56847228,0.557669342,0.25764463,0.330139784,19,24.19094554,8.53187318
481,WA,Washington,0.682489995,9.4,-7.058,0.11,1,18.08,8.756478293,76171.51236,21.6,7,0.599255032,0.591836735,0.591836735,1,1,1445.075503,0.002253903,2,23.03003415,0.52459228,0.227207827,0.271427975,81,26.00661843,8.494801097
482,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,4.175089731,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
483,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,3.615380932,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
484,WI,Wisconsin,0.43024134,4.1,-3.3,0.11,0,24.88,34.52063915,62694.97699,4.3,33,0.503179523,0.303030303,0.353535354,1,0.5,448.399748,0.001335761,10,19.33653858,0.547334492,0.217414129,0.273797082,72.5,41.08567778,15.11856477
485,TX,Texas,0.337290444,29.5,1.003,0.09,0,20.89,18.45792079,69643.50291,15.4,6,0.471692788,0.35483871,0.426666667,0,0,2004.947997,0.001042069,18,14.94194945,0.475048274,0.259371388,0.313956512,16.5,7.705398685,6.109622005
486,LA,Louisiana,0.261831466,0.5,-0.298,0.09,0,22.1,6.030170003,79001.69747,-3.6,49,0.405355595,0.282051282,0.304761905,0,0,6900.755748,0.029839519,48,13.85816272,0.58442986,0.267211686,0.361926686,25.5,27.53389457,12.84996416
487,AZ,Arizona,0.314265679,16.2,-8.625,0.1,0,23.05,1.396014795,76183.07929,21.1,14,0.501568317,0.466666667,0.483333333,1,0.5,454.561758,0.001126619,14,16.78966655,0.572675049,0.244885617,0.301865892,30,40.31962884,13.93940713
488,IA,Iowa,0.290180162,85.7,-1.137,0.11,0,20.7,21.74583179,62913.918,5.7,23,0.456971109,0.32,0.36,0,0,296.52745,0.001498777,6,18.6033683,0.587385118,0.233443976,0.275283674,52.5,24.41206338,12.44975568
489,SD,South Dakota,0.226809348,76.5,2.379,0.08,0,23.56,10.05062151,54610.3391,6.5,34,0.365652201,0.114285714,0.1,0,0,86.342946,0.001571034,46,14.48838961,0.529352009,0.222519398,0.247762593,53,31.94226039,8.897475084
490,IN,Indiana,0.18647309,11.4,-8.498,0.09,0,25.35,13.15354097,61458.92117,10.8,13,0.41804952,0.18,0.3,0,0,1299.934632,0.003282587,17,16.38610986,0.525077939,0.240882712,0.274320628,26.5,23.46411065,9.622435121
491,SC,South Carolina,0.161762585,3.6,-4.04,0.09,0,20.9,25.03393778,62142.29787,11.5,27,0.440733913,0.326086957,0.290322581,0,0,1890.13276,0.00753421,34,15.38585383,0.474662811,0.252610159,0.335336757,22,24.37833384,10.88215854
492,WA,Washington,0.682489995,9.4,-7.058,0.11,1,18.08,7.86301894,76171.51236,21.6,7,0.599255032,0.591836735,0.591836735,1,1,1445.075503,0.002253903,2,23.03003415,0.52459228,0.227207827,0.271427975,81,26.00661843,8.494801097
493,IL,Illinois,0.494461858,19.6,-11.184,0.13,1,25.12,3.060706617,69011.44039,3.8,17,0.586590437,0.661016949,0.661016949,1,1,1065.541186,0.001233021,43,23.32385353,0.558254421,0.242371479,0.309645845,67,51.40853485,9.732300611
494,MA,Massachusetts,0.754680701,11,-12.44,0.12,1,49.99,11.21177904,85430.45021,14,15,0.671155495,0.9,0.83125,1,1,210.306525,0.000347984,23,26.58358741,0.585763514,0.245686865,0.29035167,68,43.53280272,10.36285383
495,MO,Missouri,0.331273592,10.2,-1.736,0.09,1,22.46,8.961998959,61776.21937,8.1,32,0.421641794,0.294117647,0.312883436,0,0,NA,NA,35,16.42127773,0.530996859,0.229259496,0.282745315,29,23.54117783,8.072841999
496,OH,Ohio,0.238911747,2.9,-5.499,0.1,1,21.83,15.7166518,62305.78298,5.7,12,0.459233024,0.212121212,0.313131313,0,0,3782.396369,0.005484267,36,18.22359339,0.532747269,0.231219838,0.295419353,59,32.75533935,10.56252894
497,PA,Pennsylvania,0.52491072,3.3,-2.053,0.11,1,24.07,9.68474933,64076.61493,2.4,15,0.505892053,0.44,0.502463054,1,0.5,450.739908,0.000583606,38,20.46884428,0.533220232,0.222925474,0.319624748,73,28.39852171,11.83605387
498,VA,Virginia,0.400964448,4,-11.004,0.13,0,23.42,18.86402245,61553.50458,12,2,0.55154687,0.525,0.51,0,0.5,140,0.000242649,37,19.21795955,0.592493236,0.247026659,0.325550792,62,35.32782737,9.76533376
499,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,9.636124775,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
500,SC,South Carolina,0.161762585,3.6,-4.04,0.09,0,20.9,17.70024761,62142.29787,11.5,27,0.440733913,0.326086957,0.290322581,0,0,1890.13276,0.00753421,34,15.38585383,0.474662811,0.252610159,0.335336757,22,24.37833384,10.88215854
501,NY,New York,0.694948106,7.1,-8.289,0.16,1,22.13,8.538888641,68111.90349,8.5,20,0.617168349,0.666666667,0.68,1,1,9845.224887,0.005582698,41,27.28226444,0.606758833,0.239969901,0.372098672,94,31.94444444,9.998813056
